transcript,position,score
AT1G01050.1,155,0.0363636363636363
AT1G01050.1,165,0.0
AT1G01050.1,347,0.0091431625985008
AT1G01050.1,435,0.0272727272727272
AT1G01050.1,549,0.0545519947678221
AT1G01050.2,463,0.0
AT1G01060.1,1011,0.1136363636363636
AT1G01060.1,1089,0.0136363636363636
AT1G01060.1,1205,0.0363636363636363
AT1G01060.1,1559,0.0
AT1G01060.1,1645,0.0
AT1G01060.1,1671,0.0681818181818181
AT1G01060.1,1727,0.0
AT1G01060.1,1880,0.0045454545454545
AT1G01060.1,2131,0.0045454545454545
AT1G01060.1,2225,0.0046224407219218
AT1G01060.1,2248,0.0272727272727272
AT1G01060.1,2252,0.0045454545454545
AT1G01060.1,2381,0.0
AT1G01060.1,2470,0.45
AT1G01060.1,346,0.0
AT1G01060.1,521,0.091060029079831
AT1G01060.1,602,0.1590909090909091
AT1G01060.1,736,0.0
AT1G01060.1,768,0.0727832512315271
AT1G01060.1,945,0.1727272727272727
AT1G01060.2,1055,0.1818181818181818
AT1G01060.2,1121,0.1272727272727272
AT1G01060.2,1199,0.0136363636363636
AT1G01060.2,1315,0.0409090909090909
AT1G01060.2,1669,0.0
AT1G01060.2,1755,0.009090909090909
AT1G01060.2,1781,0.0727272727272727
AT1G01060.2,1837,0.0
AT1G01060.2,1990,0.0045454545454545
AT1G01060.2,2241,0.0045454545454545
AT1G01060.2,2335,0.0137133498128309
AT1G01060.2,2358,0.0318181818181818
AT1G01060.2,2362,0.0045454545454545
AT1G01060.2,2491,0.0
AT1G01060.2,2580,0.4636363636363636
AT1G01060.2,456,0.0
AT1G01060.2,631,0.0956054836252856
AT1G01060.2,712,0.1454545454545454
AT1G01060.2,846,0.0
AT1G01060.2,878,0.0864196148678907
AT1G01060.3,1006,0.0136363636363636
AT1G01060.3,1122,0.0409090909090909
AT1G01060.3,1476,0.0
AT1G01060.3,1562,0.0045454545454545
AT1G01060.3,1588,0.0545454545454545
AT1G01060.3,1644,0.0
AT1G01060.3,1797,0.009090909090909
AT1G01060.3,2048,0.0045454545454545
AT1G01060.3,2142,7.698617646734047e-05
AT1G01060.3,2165,0.0275324675324675
AT1G01060.3,2169,0.0181818181818181
AT1G01060.3,263,0.0
AT1G01060.3,438,0.1137173717371737
AT1G01060.3,519,0.1136363636363636
AT1G01060.3,653,0.0
AT1G01060.3,685,0.0182377966860725
AT1G01060.3,862,0.2022727272727272
AT1G01060.3,928,0.1363636363636363
